FID,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,Shape_Area,Shape__Area,Shape__Length,GlobalID
74,1270,Alachua,Florida,12,001,12001,262216,270.6,247336,255.3,172156,50282,772,13235,134,20752,4211,6546,119786,127550,13068,11739,11669,23589,41515,36980,25508,29470,27171,14580,8375,3672,30.1,29.6,30.9,100516,2.32,13651,16705,14656,21921,1917,7983,53500,2.91,112766,12250,54768,45748,1662,113,58746,60865,968.91,2.08538104655,0.235556084501,3359710809.51367,247835.349155721,218349dc-b28e-450f-a12d-3c53f4caf175
75,1271,Baker,Florida,12,003,12003,28042,47.6,27115,46,22686,3680,76,132,5,520,111,425,14160,12955,1933,1991,1962,1877,1766,3675,3784,4018,3153,1829,888,239,36,35.3,36.8,8772,2.82,733,964,2364,2565,359,845,6717,3.21,9687,915,6813,1959,381,86,4402,41490,588.87,1.6833266797,0.14407369891,2068476202.36523,202625.217941541,ecb84e6a-4bd9-4562-8926-db1d1a63d467
76,1272,Bay,Florida,12,005,12005,180035,233.6,168852,219.1,138731,18180,1153,3353,161,8107,2039,5235,83656,85196,10633,10014,9993,10889,11624,22150,21581,26508,20901,13678,8047,2834,39.4,38.2,40.6,68438,2.41,8756,10052,12457,19369,2160,5872,44451,2.92,99650,31212,43207,25231,115,91,2689,23632,770.83,3.5723186827,0.179149816074,2570884796.62305,425422.855257531,a96cca6e-b7fd-415d-8300-2f82166e7637
77,1273,Bradford,Florida,12,007,12007,26996,89.9,28520,95,21801,5823,91,151,13,1020,189,452,16010,12510,1670,1571,1497,1571,1877,4349,3821,4539,3512,2323,1303,487,39.5,37.8,42.6,9479,2.53,1083,1292,1711,2913,304,935,6581,2.99,11011,1532,7235,2244,470,75,9165,27961,300.25,1.36487481666,0.0702441936521,1004647328.51172,164571.322496071,f0fb9c3c-95b9-48bb-a291-af6d1d285da9
78,1274,Brevard,Florida,12,009,12009,578927,545.3,543376,511.9,450927,54799,2118,11349,514,43943,9299,14370,266242,277134,26809,28563,31269,34491,29335,54795,62148,90602,74652,57686,38925,14101,45.5,44.1,46.6,229692,2.33,29518,35809,37258,73627,5655,16565,148392,2.84,269864,40172,168841,60851,513,286,19337,89650,1061.59,5.14166002717,0.242008440718,3405782401.73047,626296.700697992,96d85ab5-aed7-4ff7-a9d1-c1359917cd97
79,1275,Calhoun,Florida,12,013,12013,14630,25.5,14625,25.5,11818,2011,165,75,12,755,198,346,7955,6670,909,814,886,869,895,1992,2029,2196,1777,1320,693,245,39.7,38.6,41.4,5061,2.52,624,747,1027,1443,183,456,3450,3.03,5999,938,3887,1174,218,197,18907,91098,574.4,1.66834073761,0.138720753296,1993243599.01367,199256.836055788,679e0dbf-4405-4359-9e3b-1e34792bc626
80,1276,Charlotte,Florida,12,015,12015,173978,244.2,159978,224.5,144059,9089,417,1912,59,9213,1767,2675,77762,82216,5545,6031,6773,7336,5805,11186,14095,21232,27376,28945,18884,6770,55.8,54.6,56.8,73370,2.14,8540,12392,7714,31433,1374,3587,47873,2.57,100632,27262,58475,14895,284,765,18447,364087,712.5,2.93754889401,0.163625165929,2273767186.33789,340975.482164487,12ea5fc1-b10f-4324-bc4b-5117b981238d
81,1277,Citrus,Florida,12,017,12017,144825,229.3,141236,223.6,131350,3987,482,1996,38,6584,1106,2277,68359,72877,5537,5724,6602,7195,5357,9865,13079,19335,23501,24597,15166,5278,54,53,54.8,63304,2.2,7534,10375,7400,25674,1478,3393,41368,2.63,78026,14722,52100,11204,559,73,7259,25190,631.51,1.71833777428,0.147410545752,2085607122.22656,201561.33726833,4d91a66e-ff4f-43c4-8e83-ed32e1b405e0
82,1278,Clay,Florida,12,019,12019,209524,325.5,190865,296.5,156087,18831,871,5589,214,14609,3645,5628,93491,97374,11869,13625,15002,15061,10835,21693,27375,30089,23024,13504,6545,2243,37.8,36.8,38.7,68792,2.76,5810,7138,18544,21507,2180,6086,52419,3.13,75478,6686,52567,16225,403,128,5229,22971,643.67,1.7478315073,0.157852243733,2258393162.39844,209062.9153964,1b391ecd-3c5e-4268-a9d5-e0e9b95d25fb
83,1279,Collier,Florida,12,021,12021,368652,180.9,321520,157.7,269596,21087,1123,3507,125,83177,19920,6162,158494,163026,16836,17277,17451,17613,15516,32550,35557,40829,42940,46154,29290,9507,46.9,45.3,48.5,133179,2.38,14244,21364,21524,50628,3301,7504,89276,2.84,197298,64119,96159,37020,319,387,66948,635582,2038.27,3.21307907366,0.461870236891,6374667525.97266,374842.168645704,2b765dcf-f4c1-4cd0-bceb-91fd3bcfcdf5
